ano;id_empresa;receita
2018;empresa_a;349836
2019;empresa_a;302245
2020;empresa_a;272069
2021;empresa_a;452668
2022;empresa_a;641256
2023;empresa_a;511994
2018;empresa_b;134438
2019;empresa_b;148640
2020;empresa_b;208529
2021;empresa_b;293524
2022;empresa_b;226508
2023;empresa_b;208066
2018;empresa_c;36918
2019;empresa_c;39644
2020;empresa_c;43815
2021;empresa_c;78345
2022;empresa_c;82412
2023;empresa_c;68916
2018;empresa_d;4832
2019;empresa_d;6577
2020;empresa_d;9327
2021;empresa_d;10288
2022;empresa_d;10111
2023;empresa_d;9921
2018;empresa_e;50231
2019;empresa_e;52600
2020;empresa_e;58379
2021;empresa_e;72854
2022;empresa_e;79709
2023;empresa_e;79737
